N,Triton,Torch
256.000000,197.114624,1068.314041
384.000000,330.904174,1462.553682
512.000000,439.648670,1712.612791
640.000000,541.369503,1832.033640
768.000000,640.545958,2012.487691
896.000000,761.346084,2124.581540
1024.000000,840.897627,2288.116804
1152.000000,823.716893,2053.739254
1280.000000,896.235521,2210.241309
1408.000000,1090.830404,2350.779379
1536.000000,1185.939789,2469.384483
1664.000000,1265.043829,2576.748628
1792.000000,1344.116787,2683.294453
1920.000000,1413.440309,2681.758247
2048.000000,1483.585634,2763.379831
2176.000000,1467.505039,2064.574261
2304.000000,1528.246211,2037.966824
2432.000000,1574.242288,2250.826746
2560.000000,1630.749792,2042.941525
2688.000000,1674.003838,1962.839060
2816.000000,1746.237290,2048.199815
2944.000000,1772.135449,1886.648785
3072.000000,1812.168736,1828.108171
3200.000000,1788.178945,1734.024315
3328.000000,1849.823493,1725.534593
3456.000000,1869.676219,1793.193393
3584.000000,1928.325781,1862.448557
3712.000000,1930.003992,1762.397377
3840.000000,1973.072999,1687.450626
3968.000000,1970.254734,1820.043846
4096.000000,2026.334626,1805.101499
4224.000000,1915.984610,2280.974024
4352.000000,1976.403761,2379.569984
4480.000000,1993.663661,2272.583433
4608.000000,2021.074408,2098.161908
4736.000000,2046.599154,2011.431178
4864.000000,2099.171486,2131.345372
4992.000000,2084.244709,2002.557959
5120.000000,2122.872662,1965.164291
5248.000000,2103.500753,2048.914501
5376.000000,2140.303263,2039.925215
5504.000000,2160.521884,2180.666866
5632.000000,2209.771960,2109.210654
5760.000000,2179.092879,1974.004865
5888.000000,2222.272765,1980.780776
6016.000000,2205.193104,1895.870804
6144.000000,2255.618764,1929.771454
6272.000000,2237.783434,2353.548821
6400.000000,2239.183893,2342.090396
6528.000000,2248.558010,2354.974478
6656.000000,2279.160079,2387.909556
6784.000000,2298.920217,2340.157815
6912.000000,2345.626254,2369.035298
7040.000000,2301.802155,2318.374596
7168.000000,2320.466392,2344.623979
7296.000000,2297.666888,2312.869635
7424.000000,2317.724531,2276.271459
7552.000000,2310.217300,2222.352959
7680.000000,2385.467076,2254.601532
7808.000000,2318.327763,2211.775524
7936.000000,2343.735169,2111.050493
8064.000000,2326.895605,2016.918340
8192.000000,2367.754680,2037.029435
8320.000000,2295.366002,2084.730179
8448.000000,2311.549876,1983.813748
8576.000000,2320.612414,2116.246339
8704.000000,2335.493031,2038.909805
8832.000000,2348.943398,2098.583509
8960.000000,2360.051181,2050.889093
9088.000000,2349.240486,2045.647419
9216.000000,2347.453048,2060.639758
9344.000000,2357.367240,2058.472581
9472.000000,2350.320683,2035.828755
9600.000000,2375.502825,2013.835169
9728.000000,2431.032136,2044.784145
9856.000000,2403.566629,2060.278860
9984.000000,2420.318792,2065.680905
10112.000000,2419.909651,2019.624956
10240.000000,2433.166066,1992.396909
10368.000000,2433.574748,2042.669770
10496.000000,2438.300546,2001.950181
10624.000000,2455.042036,2034.995600
10752.000000,2482.778620,2034.505518
10880.000000,2502.568743,2061.206943
11008.000000,2516.820549,2040.930151
11136.000000,2501.087008,2069.351688
11264.000000,2538.401756,2072.372485
11392.000000,2529.608336,2072.467565
11520.000000,2539.292915,2088.246492
11648.000000,2542.744558,2085.539844
11776.000000,2599.853767,2081.477405
11904.000000,2558.648078,2094.263126
12032.000000,2597.476138,2081.635092
12160.000000,2582.120049,2036.585467
12288.000000,2599.028256,2046.971643
12416.000000,2597.972034,2055.238344
12544.000000,2617.767069,2089.017911
12672.000000,2623.355080,2076.423337
