size,Triton,Torch
4096.000000,6.848544,7.475589
8192.000000,14.951179,15.042693
16384.000000,29.902357,30.085386
32768.000000,59.443085,59.804715
65536.000000,118.886171,120.341542
131072.000000,232.157043,233.501185
262144.000000,467.002371,469.862286
524288.000000,901.871555,907.072639
1048576.000000,1763.300484,1773.240131
2097152.000000,2682.351682,2717.104667
4194304.000000,3069.377316,3218.959164
8388608.000000,2827.461859,3107.467367
16777216.000000,2649.905755,2655.515644
33554432.000000,3151.316619,3165.201541
67108864.000000,3399.868136,3504.867257
134217728.000000,3661.723600,3641.148169
